meaning,output_VSO,output_VOS,meaning_type
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_2 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_2 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_2 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_1 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_2 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_2 Inanimate_2 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_2 Inanimate_2 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_2 Inanimate_2 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_2 INANIMATE_2 ANIMATE_4 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_2 Inanimate_2 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_3 Adjective_2 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_2 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_2 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_1 Adjective_2 Inanimate_2 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_1 Adjective_2 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_1 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_1 Inanimate_2 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_2 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_2 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_2 ADJECTIVE_2 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_2 Adjective_2 Inanimate_2 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_2 Adjective_2 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_1 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_1 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_2 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_3 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_3 ADJECTIVE_1 INANIMATE_2 ANIMATE_5 NONE NONE NONE,Verb_4 Animate_2 Adposition_3 Adjective_1 Inanimate_2 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_3 Adjective_1 Inanimate_2,initial_subject_modified
